q_index10,language,embedding,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
1,ca,all-minilm,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7064676616915423,0.6666666666666666,0.6666666666666666,6.666666666666667,7.38,0.262,0.738,0.738,19.342663333333334,19.317876666666667,0.02477,483.6666666666667,373.0,110.66666666666667,13.519515687308457,0.0,1.0,0.0,1.0,0.0,1.0
1,ca,mxbai-embed-large,3,0.0,0.0,0.0,0.15672981056829513,0.0,0.0,0.8333333333333334,8.036666666666667,0.19633333333333333,0.8036666666666666,0.711,24.955830000000002,24.895953333333335,0.05985666666666667,511.3333333333333,373.6666666666667,137.66666666666666,12.755154993791649,0.0,0.0,0.0,0.0,0.0,0.0
1,ca,nomic-embed-text,3,0.3333333333333333,0.6538461538461539,0.6538461538461539,0.6090225563909774,0.3333333333333333,0.3333333333333333,3.8333333333333335,8.693333333333333,0.13066666666666668,0.8693333333333334,0.8130000000000001,20.134246666666666,20.098516666666665,0.03571,480.6666666666667,384.0,96.66666666666667,12.647966866651833,0.0,1.0,0.4615384615384615,1.0,0.4615384615384615,1.0
1,en,all-minilm,3,0.3333333333333333,0.4761904761904762,0.4761904761904762,0.49293741622847714,0.3333333333333333,0.3333333333333333,6.666666666666667,7.849999999999999,0.215,0.785,0.781,13.811423333333332,13.782316666666667,0.029093333333333336,344.3333333333333,284.0,60.333333333333336,13.077194814254861,0.0,1.0,0.0,1.0,0.0,1.0
1,en,mxbai-embed-large,3,0.0,0.4761904761904762,0.4761904761904762,0.38347315766670603,0.0,0.0,4.0,8.493333333333332,0.1506666666666667,0.8493333333333334,0.767,56.72493666666667,56.66507333333333,0.059849999999999993,725.0,294.3333333333333,430.6666666666667,12.533905670310325,0.0,0.0,0.4000000000000001,0.6,0.4000000000000001,0.6
1,en,nomic-embed-text,3,0.3333333333333333,0.5333333333333333,0.5333333333333333,0.5793650793650794,0.3333333333333333,0.3333333333333333,3.8333333333333335,8.07,0.19299999999999998,0.807,0.793,19.177243333333333,19.14245,0.03477666666666667,394.3333333333333,303.3333333333333,91.0,13.204658833457259,0.0,1.0,0.0,1.0,0.0,1.0
1,es,all-minilm,3,0.3333333333333333,0.5151515151515151,0.5151515151515151,0.5444444444444444,0.3333333333333333,0.3333333333333333,6.5,7.826666666666667,0.21733333333333335,0.7826666666666666,0.742,44.57917333333334,44.54932666666667,0.02983,642.3333333333334,362.3333333333333,280.0,12.637264547506966,0.0,1.0,0.0,1.0,0.0,1.0
1,es,mxbai-embed-large,3,0.6666666666666666,0.8484848484848485,0.8484848484848485,0.8333333333333334,0.6666666666666666,0.6666666666666666,9.833333333333334,8.290000000000001,0.171,0.8290000000000001,0.795,17.480073333333333,17.41963,0.06042666666666666,393.6666666666667,355.3333333333333,38.333333333333336,13.893084931881972,0.0,1.0,0.5454545454545454,1.0,0.5454545454545454,1.0
1,es,nomic-embed-text,3,0.6666666666666666,0.8484848484848485,0.8484848484848485,0.8333333333333334,0.6666666666666666,0.6666666666666666,9.833333333333334,8.426666666666666,0.15733333333333333,0.8426666666666668,0.8119999999999999,20.293166666666664,20.256396666666667,0.03675666666666667,439.6666666666667,374.0,65.66666666666667,12.739795174688602,0.0,1.0,0.5454545454545454,1.0,0.5454545454545454,1.0
2,ca,all-minilm,3,0.0,0.0,0.0,0.20022883295194513,0.0,0.0,8.5,7.32,0.268,0.7320000000000001,0.626,18.712653333333332,16.656183333333335,2.05645,456.3333333333333,370.6666666666667,85.66666666666667,13.022420416259365,0.0,0.0,0.0,0.0,0.0,0.0
