embedding,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
all-minilm,90,0.044444444444444446,0.342626898960547,0.32955445545682716,0.332899935450811,0.1111111111111111,0.1,5.481111111111111,7.947333333333333,0.20526666666666663,0.7947333333333333,0.7001000000000001,21.125747444444446,19.271014444444443,1.8547193333333332,460.3333333333333,353.22222222222223,107.11111111111111,12.688761321693752,0.011111111111111112,0.08888888888888889,0.2840993789581924,0.40245698974995064,0.2723632779843351,0.38976619719465977
mxbai-embed-large,90,0.022222222222222223,0.3475755990658186,0.3283713716658568,0.3201645195560078,0.07777777777777778,0.07777777777777778,5.698888888888889,8.661666666666665,0.13383333333333336,0.8661666666666666,0.7961666666666667,25.605758555555557,23.713688222222217,1.8920575555555559,480.1333333333333,351.96666666666664,128.16666666666666,12.738784149407008,0.0,0.05555555555555555,0.29426374523971854,0.40305415530640315,0.27527448502309476,0.3832946222112643
nomic-embed-text,90,0.044444444444444446,0.39578617727947746,0.3784020898703671,0.3633759163035137,0.13333333333333333,0.1111111111111111,5.962222222222222,8.675333333333331,0.13246666666666665,0.8675333333333332,0.8047999999999998,21.742956666666664,19.862407555555553,1.8805364444444448,450.55555555555554,355.8666666666667,94.68888888888888,12.618325380056799,0.011111111111111112,0.08888888888888889,0.343056933402353,0.4509800122157976,0.3256639978940274,0.43326136093841083
