db_lang,language,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
ca,ca,90,0.1111111111111111,0.47162810072419564,0.47061799971409457,0.00520743712062031,0.3888888888888889,0.0,5.194444444444445,7.555555555555555,0.24444444444444444,23.282912444444445,20.55898955555556,2.723910555555556,492.06666666666666,380.2888888888889,111.77777777777777,14.212443027484571,0.044444444444444446,0.18888888888888888,0.3966770788997143,0.5524513775872303,0.3960697823081537,0.5514471081132358
ca,en,90,0.07777777777777778,0.3643155542883149,0.35302717188882143,0.003387372060387569,0.12222222222222222,0.0,5.053333333333333,7.324,0.2676,25.968039000000005,23.238494000000003,2.7295318888888884,500.55555555555554,362.75555555555553,137.8,13.703238805694433,0.022222222222222223,0.13333333333333333,0.3117355016494405,0.42456863426560076,0.30151293644975263,0.4124569439450018
ca,es,90,0.14444444444444443,0.4090541047802433,0.40329234640978934,0.004395883350702184,0.16666666666666666,0.0,4.938888888888889,6.888888888888889,0.3111111111111111,22.76029788888889,20.305329999999998,2.4549555555555553,505.4222222222222,397.0,108.42222222222222,14.103892215231117,0.07777777777777778,0.2222222222222222,0.3459594347982312,0.4828504591831017,0.3409374021482026,0.47686826578557245
en,ca,90,0.08888888888888889,0.34025273625298624,0.32586656686681686,0.004089265756493582,0.2,0.0,5.786666666666666,7.055555555555555,0.29444444444444445,22.700726222222222,19.979463222222222,2.721250333333333,427.0777777777778,315.25555555555553,111.82222222222222,14.37966668648216,0.03333333333333333,0.15555555555555556,0.27452981567895424,0.41288671195448046,0.25870569249316466,0.40011344090033185
en,en,90,0.13333333333333333,0.5001374020539454,0.4661580882052794,0.004238129941403403,0.24444444444444444,0.0,6.638888888888889,7.481444444444444,0.25185555555555555,20.945591333333333,18.216027111111114,2.7295510000000003,392.8333333333333,297.53333333333336,95.3,13.917853576030533,0.06666666666666667,0.2111111111111111,0.4368647447933006,0.5630261068586807,0.40333414030808107,0.5302263066713006
en,es,90,0.1,0.3795285193212713,0.36139324924155675,0.004170827222118093,0.16666666666666666,0.0,4.952222222222222,6.055555555555555,0.39444444444444443,24.03527577777778,21.58079811111111,2.454464666666667,460.3333333333333,336.68888888888887,123.64444444444445,14.079343157400164,0.044444444444444446,0.16666666666666666,0.31195077629705237,0.44938371112378767,0.2922785548414121,0.43008331677248923
es,ca,90,0.022222222222222223,0.22210838473942346,0.2130368973210792,0.002457120138622297,0.05555555555555555,0.0,5.975555555555555,7.303666666666666,0.26963333333333334,25.380543555555555,22.71108688888889,2.6694425555555554,491.5111111111111,352.5444444444444,138.96666666666667,13.067694128738019,0.0,0.05555555555555555,0.17636813672957904,0.27308993189462677,0.16698734666263038,0.2636318472635452
es,en,90,0.044444444444444446,0.3002074960971813,0.2874576782178245,0.0026509565131376334,0.06666666666666667,0.0,5.3277777777777775,7.185,0.2815,25.969618777777775,23.28197255555556,2.6876332222222223,479.43333333333334,339.27777777777777,140.15555555555557,13.264686965986828,0.0,0.08888888888888889,0.2520426784714909,0.35385486678498707,0.23902458345228386,0.3409085332915158
es,es,90,0.15555555555555556,0.40891870191251795,0.39604172714648767,0.004158136258804945,0.24444444444444444,0.0,5.832222222222222,7.703666666666666,0.22963333333333336,23.509568888888886,21.101787555555553,2.407769222222222,481.56666666666666,363.43333333333334,118.13333333333334,13.379898124233902,0.08888888888888889,0.23333333333333334,0.3335798672116856,0.4874637496887954,0.3201936856324176,0.474660831809484
