db_lang,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
ca,270,0.1111111111111111,0.41499925326425124,0.4089791726709018,0.004330230843903355,0.22592592592592592,0.0,5.062222222222222,7.256148148148148,0.2743851851851852,24.00374977777778,21.367604518518515,2.636132666666667,499.34814814814814,380.0148148148148,119.33333333333333,14.006524682803374,0.07407407407407407,0.15185185185185185,0.3736006204842446,0.4549463062245271,0.36802956247711155,0.44890843967500976
en,270,0.10740740740740741,0.40663955254273426,0.3844726347712176,0.004166074306671693,0.2037037037037037,0.0,5.792592592592593,6.8641851851851845,0.31358148148148146,22.56053111111111,19.92542948148148,2.635088666666667,426.7481481481482,316.4925925925926,110.25555555555556,14.125621139970951,0.07037037037037037,0.14444444444444443,0.3671548595379433,0.44569106127231306,0.3451366550907545,0.42229415818435395
es,270,0.07407407407407407,0.31041152758304086,0.29884543422846377,0.0030887376368549588,0.12222222222222222,0.0,5.7118518518518515,7.397444444444444,0.2602555555555556,24.953243740740746,22.364949,2.588281666666666,484.1703703703704,351.7518518518518,132.4185185185185,13.237426406319583,0.044444444444444446,0.10740740740740741,0.27364563730820973,0.3485015253529481,0.26304184803364167,0.3368737155266815
