language,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
ca,90,0.03333333333333333,0.32630184336746265,0.3196244868938413,0.3411292840328348,0.13333333333333333,0.1111111111111111,5.535555555555556,8.340333333333332,0.16596666666666665,0.8340333333333335,0.7677999999999999,24.63313133333333,22.76035933333333,1.8727585555555555,512.5555555555555,385.6666666666667,126.88888888888889,12.600528863896782,0.0,0.07777777777777778,0.2685937973980782,0.3867993123241006,0.26226465705442026,0.38022079980348433
en,90,0.022222222222222223,0.3789682869442539,0.34804817733899057,0.30835119733320143,0.05555555555555555,0.05555555555555555,6.635555555555556,8.518333333333334,0.1481666666666667,0.8518333333333334,0.7607999999999999,22.358155222222223,20.483262555555555,1.87488,406.18888888888887,297.74444444444447,108.44444444444444,12.708836741564674,0.0,0.05555555555555555,0.3366114816208196,0.4223998274141501,0.30686336029093614,0.3917767102264184
es,90,0.05555555555555555,0.3807185449941265,0.3686552527602191,0.3669598899442961,0.13333333333333333,0.12222222222222222,4.971111111111111,8.425666666666666,0.15743333333333334,0.8425666666666667,0.7724666666666665,21.483176111111113,19.603488333333335,1.8796747777777776,472.27777777777777,377.64444444444445,94.63333333333334,12.7365052456961,0.011111111111111112,0.1111111111111111,0.322024442678031,0.4431166663129164,0.30892159043293843,0.4314688692561415
