llm,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
deepseek-r1,90,0.011111111111111112,0.289641949550475,0.279249886461997,0.2736612635064608,0.03333333333333333,0.022222222222222223,5.412222222222223,8.481444444444445,0.15185555555555555,0.8481444444444446,0.7670222222222222,43.61291433333333,41.73156355555556,1.8813382222222221,625.9555555555555,333.9555555555556,292.0,9.660283562095907,0.0,0.03333333333333333,0.2437064334747094,0.338128173815401,0.23257785461523448,0.326583083212308
llama3,90,0.06666666666666667,0.448017544564803,0.43004813742872927,0.41777735316482356,0.18888888888888888,0.16666666666666666,5.872222222222222,8.279555555555557,0.17204444444444444,0.8279555555555554,0.7670222222222222,11.209428444444445,9.33615622222222,1.873259,349.4555555555556,334.0777777777778,15.377777777777778,14.207242038126465,0.022222222222222223,0.12222222222222222,0.38833576574019296,0.5097171814186413,0.3706785417954009,0.4929334612658649
mistral,90,0.03333333333333333,0.348329181190565,0.3270298931023248,0.325001754639048,0.1,0.1,5.857777777777779,8.523333333333332,0.14766666666666667,0.8523333333333333,0.7670222222222222,13.65211988888889,11.779390444444443,1.872716111111111,415.6111111111111,393.02222222222224,22.58888888888889,14.178345250935184,0.0,0.07777777777777778,0.29783852885394474,0.4025221006366927,0.27648653247916594,0.38079599535191916
